time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
234.4,23336562.576,422079870.16,288248954.081,165982106.345,179674327.153,278738025.733,300687699.104,,2,4,-0.3298042704956534,0.6497961056192446
234.5,18675606.004,408717638.55,286609893.261,161474185.996,179255375.4,290517541.114,265577268.279,,2,4,1.113741358149568,0.6499421219276478
234.6,26332135.213,372772526.083,270529385.382,142819940.667,181205379.265,291590914.075,301376535.086,,3,4,2.0632941053930205,0.681950767954107
234.7,21072230.488,326203591.066,231031689.009,119676516.671,188240876.627,302295787.256,308415499.025,,3,4,2.0882925457425316,0.6215153846352219
234.8,16864255.74,279561111.663,223694238.392,98161703.746,191135013.464,308729278.169,280141589.002,,3,4,1.5710461478045314,0.6193755684959772
234.9,13497824.569,241947657.641,238573096.519,79686890.343,180134043.325,256456561.554,308469103.601,,3,4,0.18529622582716676,0.8824705091485513
235.0,26139755.938,210927955.872,256923190.678,64383358.036,183951756.235,263007184.321,334526757.046,,4,4,-0.23388549277976028,0.7989163118730942
235.1,20918285.124,185361760.229,279508201.35,51795456.63,186877064.75,277033187.404,303805357.017,,4,4,-0.14647486535968762,0.7993750996401633
235.2,16741105.466,162884571.897,286108488.279,41588955.638,186835558.197,294293115.058,262445491.651,,4,4,-0.03416032891239097,0.8781406848195675
235.3,28734280.225,145549519.479,289928882.185,33343752.409,178197933.355,304515209.368,302965312.933,,1,5,-0.020325678827509505,0.893230049986353
235.4,22994005.955,130185572.693,303870916.137,26718457.316,152027604.954,268684778.713,269396774.587,,1,5,0.00516523382136963,0.8881520398494955
235.5,18401874.731,116367868.037,308039912.892,21403630.381,156929590.802,260498406.614,301252146.368,,1,5,-0.011958170872100535,0.9038985121807105
235.6,30063011.165,104380769.195,321567318.255,17148481.107,162053252.414,268734436.722,326443485.881,,2,5,-0.01710010316690668,0.9313208004841722
235.7,24056868.231,95449570.724,323388588.201,13744113.74,162327466.7,279949967.006,314514237.35,,2,5,-0.030848802989576023,0.9505608219235167
235.8,19252120.602,86217412.916,302613767.619,11020624.423,163026492.6,291140886.307,280472262.125,,2,5,-0.01886569362865697,0.9553209603327817
235.9,15408313.675,79356116.77,301482191.553,8843572.535,166889074.21,295642536.926,247885268.473,,2,5,-0.0033774290953277573,0.9435334282050774
236.0,23718586.898,72560122.157,313756943.593,7102672.447,171201741.832,292058003.414,303858502.366,,3,5,0.00785892666672635,0.9439888214222981
236.1,18981504.35,66893264.876,305142253.845,5709984.672,181099456.476,289986719.182,338522437.251,,3,5,0.002207204051235069,0.9376476503107689
236.2,15191746.669,61666314.726,314398248.838,4596804.387,180749621.686,292060996.93,370402768.804,,3,5,0.00795937898542403,0.9247696908195826
236.3,27494747.533,56867585.756,318132503.181,3706102.788,180262835.685,292583514.598,411066082.792,,4,5,0.00737364855663393,0.9021543215377243
236.4,22002329.297,52824624.991,321223201.482,2993420.83,180332910.025,286978152.797,429545276.534,,4,5,-0.0053932539221111485,0.91800197172039
236.5,17608480.631,49060588.752,326033084.027,2424480.174,179450584.157,286151776.461,432979775.683,,4,5,-0.0021990761069833158,0.9235781024929577
236.6,29428183.768,45005268.948,323276181.556,1969771.546,181140509.927,290684237.605,449168093.284,,1,6,-0.006838347311560269,0.9163270062506799
